feature,quintile,minimum,maximum,rows,positives,prevalence
mean_counts,1,0.0001794607233023271,0.003050832310691476,106221,0,0.0
mean_counts,2,0.003068778431043029,0.051639821380376816,106038,0,0.0
mean_counts,3,0.05180133879184723,0.16487056016921997,105982,0,0.0
mean_counts,4,0.1652115434408188,0.411844402551651,106055,5,4.714534911131017e-05
mean_counts,5,0.41188928484916687,187.50645446777344,106042,246,0.0023198355368627523
detection_fraction,1,0.00017946072053476314,0.002808560276369554,106070,0,0.0
detection_fraction,2,0.002817533312396092,0.04843644847234063,106144,0,0.0
detection_fraction,3,0.048615909192875395,0.14739108977522553,106020,0,0.0
detection_fraction,4,0.1474359549553591,0.32047198169500657,106113,5,4.7119580070302414e-05
detection_fraction,5,0.32088474135223644,1.0,105991,246,0.0023209517789246257
