quiet_threshold,single_threshold,expression_filter,endpoint,method,auroc,auprc,n,positives,prevalence,auprc_over_prevalence
0.05,0.05,all,all_PRN_covered,quietness,0.19865376461313738,0.0005415217762557715,410558,391,0.0009523623945946736,0.5686089447979975
0.05,0.05,all,all_PRN_covered,prn_counterdirection,0.5377123448133038,0.0010733174080699518,410558,391,0.0009523623945946736,1.1270052389319265
0.05,0.05,all,all_PRN_covered,prn_active_balance,0.538716367895487,0.0010820997522049472,410558,391,0.0009523623945946736,1.1362268799635773
0.05,0.05,all,optimal_pair_matched_1_to_10,quietness,0.4942000641021448,0.0901911548465675,4301,391,0.09090909090909091,0.9921027033122426
0.05,0.05,all,optimal_pair_matched_1_to_10,prn_counterdirection,0.5166076883327555,0.09993907608033531,4301,391,0.09090909090909091,1.0993298368836883
0.05,0.05,all,optimal_pair_matched_1_to_10,prn_active_balance,0.5176611220491755,0.10115141098352684,4301,391,0.09090909090909091,1.1126655208187952
0.05,0.1,all,all_PRN_covered,quietness,0.15548518304168865,7.56324596809031e-05,411785,56,0.00013599329747319598,0.5561484358875121
0.05,0.1,all,all_PRN_covered,prn_counterdirection,0.5816881370998885,0.00018795934389811942,411785,56,0.00013599329747319598,1.3821221147694125
0.05,0.1,all,all_PRN_covered,prn_active_balance,0.5838412090060626,0.00019248850495843741,411785,56,0.00013599329747319598,1.415426410969824
0.05,0.1,all,optimal_pair_matched_1_to_10,quietness,0.49362244897959184,0.0946115696085625,616,56,0.09090909090909091,1.0407272656941875
0.05,0.1,all,optimal_pair_matched_1_to_10,prn_counterdirection,0.5316645408163265,0.11374561766672828,616,56,0.09090909090909091,1.251201794334011
0.05,0.1,all,optimal_pair_matched_1_to_10,prn_active_balance,0.5363360969387755,0.11612341605196932,616,56,0.09090909090909091,1.2773575765716625
0.05,0.15,all,all_PRN_covered,quietness,0.19788477460175638,2.4925677753105228e-05,411888,17,4.1273355863729946e-05,0.6039169151982945
0.05,0.15,all,all_PRN_covered,prn_counterdirection,0.5513301066424711,5.892615221732538e-05,411888,17,4.1273355863729946e-05,1.4277044108523362
0.05,0.15,all,all_PRN_covered,prn_active_balance,0.5475722909814567,5.7774821523553916e-05,411888,17,4.1273355863729946e-05,1.3998091580996221
0.05,0.15,all,optimal_pair_matched_1_to_10,quietness,0.4892733564013841,0.10114778509244733,187,17,0.09090909090909091,1.1126256360169207
0.05,0.15,all,optimal_pair_matched_1_to_10,prn_counterdirection,0.509515570934256,0.12492258321861903,187,17,0.09090909090909091,1.3741484154048094
0.05,0.15,all,optimal_pair_matched_1_to_10,prn_active_balance,0.5070934256055364,0.12655035862349967,187,17,0.09090909090909091,1.3920539448584963
0.05,0.2,all,all_PRN_covered,quietness,0.15423221655741684,1.2065850231925885e-05,411908,8,1.9421812637773482e-05,0.621252529666516
0.05,0.2,all,all_PRN_covered,prn_counterdirection,0.4409459213401311,2.0887912989692425e-05,411908,8,1.9421812637773482e-05,1.0754873079697784
0.05,0.2,all,all_PRN_covered,prn_active_balance,0.4344407016266084,2.041692833074803e-05,411908,8,1.9421812637773482e-05,1.05123701435772
0.05,0.2,all,optimal_pair_matched_1_to_10,quietness,0.4703125,0.11206238970218108,88,8,0.09090909090909091,1.2326862867239918
0.05,0.2,all,optimal_pair_matched_1_to_10,prn_counterdirection,0.4765625,0.17437770562770563,88,8,0.09090909090909091,1.9181547619047619
0.05,0.2,all,optimal_pair_matched_1_to_10,prn_active_balance,0.465625,0.14556277056277056,88,8,0.09090909090909091,1.601190476190476
0.075,0.05,all,all_PRN_covered,quietness,0.2161867794599154,0.0011267048493654988,484348,946,0.0019531411299313715,0.5768681187954341
0.075,0.05,all,all_PRN_covered,prn_counterdirection,0.5394007080612494,0.002261191730493377,484348,946,0.0019531411299313715,1.1577206049482094
0.075,0.05,all,all_PRN_covered,prn_active_balance,0.5397509553785956,0.00226422023268137,484348,946,0.0019531411299313715,1.159271185262956
0.075,0.05,all,optimal_pair_matched_1_to_10,quietness,0.49513686200716045,0.09008887945732473,10406,946,0.09090909090909091,0.990977674030572
0.075,0.05,all,optimal_pair_matched_1_to_10,prn_counterdirection,0.5082771455644999,0.09761790199992199,10406,946,0.09090909090909091,1.073796921999142
0.075,0.05,all,optimal_pair_matched_1_to_10,prn_active_balance,0.5098057806542737,0.09850240092897793,10406,946,0.09090909090909091,1.0835264102187572
0.075,0.1,all,all_PRN_covered,quietness,0.1852938919165,0.00017685271165208624,486591,153,0.00031443244942878104,0.5624505739575183
0.075,0.1,all,all_PRN_covered,prn_counterdirection,0.5921025019894521,0.0004533159580070003,486591,153,0.00031443244942878104,1.4416958517815968
0.075,0.1,all,all_PRN_covered,prn_active_balance,0.5919934391950534,0.00045308662527584776,486591,153,0.00031443244942878104,1.4409664972522878
0.075,0.1,all,optimal_pair_matched_1_to_10,quietness,0.49474561066256567,0.09204960571545388,1683,153,0.09090909090909091,1.0125456628699927
0.075,0.1,all,optimal_pair_matched_1_to_10,prn_counterdirection,0.5346597462514417,0.11278856605066445,1683,153,0.09090909090909091,1.240674226557309
0.075,0.1,all,optimal_pair_matched_1_to_10,prn_active_balance,0.5368234439745397,0.11092880833932017,1683,153,0.09090909090909091,1.2202168917325218
0.075,0.15,all,all_PRN_covered,quietness,0.19672181211808218,6.163154275366826e-05,486816,52,0.00010681653848682048,0.576985021484034
0.075,0.15,all,all_PRN_covered,prn_counterdirection,0.5827622476031664,0.00017789344447816582,486816,52,0.00010681653848682048,1.665411058982361
0.075,0.15,all,all_PRN_covered,prn_active_balance,0.5791865533637214,0.0001648940583730763,486816,52,0.00010681653848682048,1.5437128061720675
0.075,0.15,all,optimal_pair_matched_1_to_10,quietness,0.49204881656804733,0.09355777870949639,572,52,0.09090909090909091,1.0291355658044603
0.075,0.15,all,optimal_pair_matched_1_to_10,prn_counterdirection,0.5319156804733728,0.1419422405513418,572,52,0.09090909090909091,1.5613646460647599
0.075,0.15,all,optimal_pair_matched_1_to_10,prn_active_balance,0.5316198224852071,0.13045533426750433,572,52,0.09090909090909091,1.4350086769425476
0.075,0.2,all,all_PRN_covered,quietness,0.15161680738043204,2.2401004879469673e-05,486854,19,3.902607352512252e-05,0.5740009910310172
0.075,0.2,all,all_PRN_covered,prn_counterdirection,0.5715967206007871,7.582562916104106e-05,486854,19,3.902607352512252e-05,1.942947939977341
0.075,0.2,all,all_PRN_covered,prn_active_balance,0.562281395458204,6.472446113948592e-05,486854,19,3.902607352512252e-05,1.6584927791370145
0.075,0.2,all,optimal_pair_matched_1_to_10,quietness,0.48310249307479225,0.10143517225926463,209,19,0.09090909090909091,1.115786894851911
0.075,0.2,all,optimal_pair_matched_1_to_10,prn_counterdirection,0.5293628808864266,0.21540716720030656,209,19,0.09090909090909091,2.369478839203372
0.075,0.2,all,optimal_pair_matched_1_to_10,prn_active_balance,0.5227146814404432,0.16511303345063527,209,19,0.09090909090909091,1.816243367956988
0.1,0.05,all,all_PRN_covered,quietness,0.21954496571816387,0.0016143959694748596,527213,1470,0.0027882468755512477,0.5790003688807818
