specification,ratio,degree_weight,feature,standardized_mean_difference
ratio10_degree1,10,1,abs_discovery_response,0.06878108066871716
ratio10_degree1,10,1,log_degree,0.3147014521125204
ratio10_degree1,10,1,log_mean_counts,0.09993121948470846
ratio10_degree1,10,1,logit_detection,-0.05659909462743257
ratio10_degree2,10,2,abs_discovery_response,0.07785141516791856
ratio10_degree2,10,2,log_degree,0.21243903704767236
ratio10_degree2,10,2,log_mean_counts,0.13017618425737779
ratio10_degree2,10,2,logit_detection,-0.022754258597892478
ratio10_degree4,10,4,abs_discovery_response,0.09781557158389594
ratio10_degree4,10,4,log_degree,0.11540720898487355
ratio10_degree4,10,4,log_mean_counts,0.1824272871852536
ratio10_degree4,10,4,logit_detection,0.03696623442460894
ratio10_degree8,10,8,abs_discovery_response,0.12199265745645531
ratio10_degree8,10,8,log_degree,0.04944031578365206
ratio10_degree8,10,8,log_mean_counts,0.2698033081861932
ratio10_degree8,10,8,logit_detection,0.12970578243389694
ratio10_degree16,10,16,abs_discovery_response,0.1602192697828365
ratio10_degree16,10,16,log_degree,0.0165205451705836
ratio10_degree16,10,16,log_mean_counts,0.38929181180238853
ratio10_degree16,10,16,logit_detection,0.2501395633260146
ratio5_degree1,5,1,abs_discovery_response,0.039340255794931736
ratio5_degree1,5,1,log_degree,0.26267467646768194
ratio5_degree1,5,1,log_mean_counts,0.06500496422245541
ratio5_degree1,5,1,logit_detection,-0.09585060875673534
ratio5_degree2,5,2,abs_discovery_response,0.04771519903282829
ratio5_degree2,5,2,log_degree,0.1756606944803714
ratio5_degree2,5,2,log_mean_counts,0.09081752520324202
ratio5_degree2,5,2,logit_detection,-0.06372297849695126
ratio5_degree4,5,4,abs_discovery_response,0.06226818885523205
ratio5_degree4,5,4,log_degree,0.09049006422362754
ratio5_degree4,5,4,log_mean_counts,0.13613423884027498
ratio5_degree4,5,4,logit_detection,-0.013645641359040296
ratio5_degree8,5,8,abs_discovery_response,0.09543490529868023
ratio5_degree8,5,8,log_degree,0.040193554803272226
ratio5_degree8,5,8,log_mean_counts,0.2085762220588381
ratio5_degree8,5,8,logit_detection,0.06235399092898661
ratio5_degree16,5,16,abs_discovery_response,0.11811492546362075
ratio5_degree16,5,16,log_degree,0.009476423915520575
ratio5_degree16,5,16,log_mean_counts,0.2998109229138666
ratio5_degree16,5,16,logit_detection,0.1565082290953803
ratio3_degree1,3,1,abs_discovery_response,0.04350953573539125
ratio3_degree1,3,1,log_degree,0.24567264637434774
ratio3_degree1,3,1,log_mean_counts,0.05502302813253398
ratio3_degree1,3,1,logit_detection,-0.10734664557121162
ratio3_degree2,3,2,abs_discovery_response,0.032562497657623556
ratio3_degree2,3,2,log_degree,0.14574660722488283
ratio3_degree2,3,2,log_mean_counts,0.07218943367734636
ratio3_degree2,3,2,logit_detection,-0.08252539372511476
ratio3_degree4,3,4,abs_discovery_response,0.04329832922317801
ratio3_degree4,3,4,log_degree,0.0853228270435289
ratio3_degree4,3,4,log_mean_counts,0.09851281842356344
ratio3_degree4,3,4,logit_detection,-0.0554968146151903
ratio3_degree8,3,8,abs_discovery_response,0.06797403385236729
ratio3_degree8,3,8,log_degree,0.03029942533292992
ratio3_degree8,3,8,log_mean_counts,0.1632286685756668
ratio3_degree8,3,8,logit_detection,0.013671713086124127
ratio3_degree16,3,16,abs_discovery_response,0.10451742893519679
ratio3_degree16,3,16,log_degree,0.01147334947324583
ratio3_degree16,3,16,log_mean_counts,0.2370427427930895
ratio3_degree16,3,16,logit_detection,0.08979101013098004
