specification,ratio,degree_weight,feature,standardized_mean_difference
ratio10_degree1,10,1,abs_discovery_response,0.08979367900097837
ratio10_degree1,10,1,log_degree,0.32053135892177054
ratio10_degree1,10,1,log_mean_counts,0.10148706721541204
ratio10_degree1,10,1,logit_detection,-0.06363073447525681
ratio10_degree2,10,2,abs_discovery_response,0.09448200382006382
ratio10_degree2,10,2,log_degree,0.21054763582896407
ratio10_degree2,10,2,log_mean_counts,0.12747215160913744
ratio10_degree2,10,2,logit_detection,-0.031991599232938185
ratio10_degree4,10,4,abs_discovery_response,0.1101542410953614
ratio10_degree4,10,4,log_degree,0.12485546836299878
ratio10_degree4,10,4,log_mean_counts,0.18502793238084192
ratio10_degree4,10,4,logit_detection,0.030566955920711805
ratio10_degree8,10,8,abs_discovery_response,0.13445963327841626
ratio10_degree8,10,8,log_degree,0.04752909266479583
ratio10_degree8,10,8,log_mean_counts,0.28143766859489705
ratio10_degree8,10,8,logit_detection,0.1333181070387994
ratio10_degree16,10,16,abs_discovery_response,0.17809227129082553
ratio10_degree16,10,16,log_degree,0.018505767093905272
ratio10_degree16,10,16,log_mean_counts,0.3951627671089113
ratio10_degree16,10,16,logit_detection,0.24878928957544616
ratio5_degree1,5,1,abs_discovery_response,0.07034694904050919
ratio5_degree1,5,1,log_degree,0.2749604860359221
ratio5_degree1,5,1,log_mean_counts,0.06721401361523258
ratio5_degree1,5,1,logit_detection,-0.09518815566227642
ratio5_degree2,5,2,abs_discovery_response,0.06870276971456526
ratio5_degree2,5,2,log_degree,0.1637258062056606
ratio5_degree2,5,2,log_mean_counts,0.08769875127641583
ratio5_degree2,5,2,logit_detection,-0.07123283039251234
ratio5_degree4,5,4,abs_discovery_response,0.06285780470498731
ratio5_degree4,5,4,log_degree,0.09531276169004513
ratio5_degree4,5,4,log_mean_counts,0.1331431168342299
ratio5_degree4,5,4,logit_detection,-0.023313267735701956
ratio5_degree8,5,8,abs_discovery_response,0.07897173094827013
ratio5_degree8,5,8,log_degree,0.040823094283545504
ratio5_degree8,5,8,log_mean_counts,0.20829410022146624
ratio5_degree8,5,8,logit_detection,0.056379890222531204
ratio5_degree16,5,16,abs_discovery_response,0.10949129351966347
ratio5_degree16,5,16,log_degree,0.011864040398308
ratio5_degree16,5,16,log_mean_counts,0.3003730706194926
ratio5_degree16,5,16,logit_detection,0.15812037489402087
ratio3_degree1,3,1,abs_discovery_response,0.045243403395490364
ratio3_degree1,3,1,log_degree,0.24961121557518479
ratio3_degree1,3,1,log_mean_counts,0.044071484309087625
ratio3_degree1,3,1,logit_detection,-0.11707183836448747
ratio3_degree2,3,2,abs_discovery_response,0.044965898423762606
ratio3_degree2,3,2,log_degree,0.13124683395433717
ratio3_degree2,3,2,log_mean_counts,0.06979693411203326
ratio3_degree2,3,2,logit_detection,-0.08723433124144199
ratio3_degree4,3,4,abs_discovery_response,0.06585840876701406
ratio3_degree4,3,4,log_degree,0.08053915903569624
ratio3_degree4,3,4,log_mean_counts,0.10280069018896486
ratio3_degree4,3,4,logit_detection,-0.05889904879176643
ratio3_degree8,3,8,abs_discovery_response,0.058367097092207394
ratio3_degree8,3,8,log_degree,0.032020070289968595
ratio3_degree8,3,8,log_mean_counts,0.15659684928485215
ratio3_degree8,3,8,logit_detection,0.005532660894378413
ratio3_degree16,3,16,abs_discovery_response,0.07893654356477543
ratio3_degree16,3,16,log_degree,0.007475893187384602
ratio3_degree16,3,16,log_mean_counts,0.2580831886376698
ratio3_degree16,3,16,logit_detection,0.10902478565339872
