specification,ratio,degree_weight,feature,standardized_mean_difference
ratio10_degree1,10,1,abs_discovery_response,0.0773539475796364
ratio10_degree1,10,1,log_degree,0.1776183785116604
ratio10_degree1,10,1,log_mean_counts,0.3740447857117843
ratio10_degree1,10,1,logit_detection,0.3171017405039724
ratio10_degree2,10,2,abs_discovery_response,0.08569061983355028
ratio10_degree2,10,2,log_degree,0.12255696584385949
ratio10_degree2,10,2,log_mean_counts,0.3784203301097018
ratio10_degree2,10,2,logit_detection,0.3255109995160224
ratio10_degree4,10,4,abs_discovery_response,0.09717966670822169
ratio10_degree4,10,4,log_degree,0.07197497889303149
ratio10_degree4,10,4,log_mean_counts,0.387178185275949
ratio10_degree4,10,4,logit_detection,0.3423524895408606
ratio10_degree8,10,8,abs_discovery_response,0.11141822500985436
ratio10_degree8,10,8,log_degree,0.03634191996939162
ratio10_degree8,10,8,log_mean_counts,0.4020741182062074
ratio10_degree8,10,8,logit_detection,0.36848111948782925
ratio10_degree16,10,16,abs_discovery_response,0.12449352257464318
ratio10_degree16,10,16,log_degree,0.017141990358047903
ratio10_degree16,10,16,log_mean_counts,0.4243280387209619
ratio10_degree16,10,16,logit_detection,0.40391270117357253
ratio5_degree1,5,1,abs_discovery_response,0.07200568804049137
ratio5_degree1,5,1,log_degree,0.15814907905189976
ratio5_degree1,5,1,log_mean_counts,0.19480146083132174
ratio5_degree1,5,1,logit_detection,0.14369727351577674
ratio5_degree2,5,2,abs_discovery_response,0.08372712474089165
ratio5_degree2,5,2,log_degree,0.10695864746811294
ratio5_degree2,5,2,log_mean_counts,0.19789214000233707
ratio5_degree2,5,2,logit_detection,0.14823290864792268
ratio5_degree4,5,4,abs_discovery_response,0.09285656387190751
ratio5_degree4,5,4,log_degree,0.06555695872741928
ratio5_degree4,5,4,log_mean_counts,0.20566053417752375
ratio5_degree4,5,4,logit_detection,0.15806546470408644
ratio5_degree8,5,8,abs_discovery_response,0.09944871459868938
ratio5_degree8,5,8,log_degree,0.03790117753532583
ratio5_degree8,5,8,log_mean_counts,0.22056237154493866
ratio5_degree8,5,8,logit_detection,0.1761185065873745
ratio5_degree16,5,16,abs_discovery_response,0.10706301389872035
ratio5_degree16,5,16,log_degree,0.018593583316535673
ratio5_degree16,5,16,log_mean_counts,0.24204572861056017
ratio5_degree16,5,16,logit_detection,0.20451278791582506
ratio3_degree1,3,1,abs_discovery_response,0.0656090195312171
ratio3_degree1,3,1,log_degree,0.14984170134126848
ratio3_degree1,3,1,log_mean_counts,0.10981008743921014
ratio3_degree1,3,1,logit_detection,0.064076667693406
ratio3_degree2,3,2,abs_discovery_response,0.07206530742977199
ratio3_degree2,3,2,log_degree,0.09966718679102331
ratio3_degree2,3,2,log_mean_counts,0.11237078594128187
ratio3_degree2,3,2,logit_detection,0.06690314847394956
ratio3_degree4,3,4,abs_discovery_response,0.07813038869616641
ratio3_degree4,3,4,log_degree,0.06308718862641043
ratio3_degree4,3,4,log_mean_counts,0.12037994334850116
ratio3_degree4,3,4,logit_detection,0.07625479226072907
ratio3_degree8,3,8,abs_discovery_response,0.09018868422213495
ratio3_degree8,3,8,log_degree,0.03661133621854553
ratio3_degree8,3,8,log_mean_counts,0.13242093569775482
ratio3_degree8,3,8,logit_detection,0.08999870658134065
ratio3_degree16,3,16,abs_discovery_response,0.09125776002953927
ratio3_degree16,3,16,log_degree,0.017708110073302533
ratio3_degree16,3,16,log_mean_counts,0.15499577874393922
ratio3_degree16,3,16,logit_detection,0.1149412546999179
