specification,ratio,degree_weight,feature,standardized_mean_difference
ratio10_degree1,10,1,abs_discovery_response,0.09315921547757977
ratio10_degree1,10,1,log_degree,0.30159033982692734
ratio10_degree1,10,1,log_mean_counts,0.09576866203056239
ratio10_degree1,10,1,logit_detection,-0.034975641025317944
ratio10_degree2,10,2,abs_discovery_response,0.10852329334528406
ratio10_degree2,10,2,log_degree,0.20410403462318988
ratio10_degree2,10,2,log_mean_counts,0.12074913914555864
ratio10_degree2,10,2,logit_detection,-0.006405844562817005
ratio10_degree4,10,4,abs_discovery_response,0.12524123391941933
ratio10_degree4,10,4,log_degree,0.10303033200462035
ratio10_degree4,10,4,log_mean_counts,0.18548138631149116
ratio10_degree4,10,4,logit_detection,0.06352572227104969
ratio10_degree8,10,8,abs_discovery_response,0.1737387129947806
ratio10_degree8,10,8,log_degree,0.04005163971762205
ratio10_degree8,10,8,log_mean_counts,0.2786345805141515
ratio10_degree8,10,8,logit_detection,0.15813719971828208
ratio10_degree16,10,16,abs_discovery_response,0.22552837182102015
ratio10_degree16,10,16,log_degree,0.013994440015155468
ratio10_degree16,10,16,log_mean_counts,0.3752062286041779
ratio10_degree16,10,16,logit_detection,0.2527785174927211
ratio5_degree1,5,1,abs_discovery_response,0.07298520464950163
ratio5_degree1,5,1,log_degree,0.26440878495507164
ratio5_degree1,5,1,log_mean_counts,0.06218334463288253
ratio5_degree1,5,1,logit_detection,-0.06814856959875425
ratio5_degree2,5,2,abs_discovery_response,0.08499216250039118
ratio5_degree2,5,2,log_degree,0.16493790835046188
ratio5_degree2,5,2,log_mean_counts,0.08851866524298911
ratio5_degree2,5,2,logit_detection,-0.0393802327146363
ratio5_degree4,5,4,abs_discovery_response,0.10285665352348994
ratio5_degree4,5,4,log_degree,0.09552029987331596
ratio5_degree4,5,4,log_mean_counts,0.13175116012826205
ratio5_degree4,5,4,logit_detection,0.008105829520126112
ratio5_degree8,5,8,abs_discovery_response,0.12778978260938975
ratio5_degree8,5,8,log_degree,0.029758605527229386
ratio5_degree8,5,8,log_mean_counts,0.21002160513340126
ratio5_degree8,5,8,logit_detection,0.08503292049503729
ratio5_degree16,5,16,abs_discovery_response,0.16932199582276236
ratio5_degree16,5,16,log_degree,0.01295756883201019
ratio5_degree16,5,16,log_mean_counts,0.27968113044150555
ratio5_degree16,5,16,logit_detection,0.16084353542124158
ratio3_degree1,3,1,abs_discovery_response,0.0644746843904854
ratio3_degree1,3,1,log_degree,0.2290968140215458
ratio3_degree1,3,1,log_mean_counts,0.05002151562816935
ratio3_degree1,3,1,logit_detection,-0.07780657469130042
ratio3_degree2,3,2,abs_discovery_response,0.0719845631733851
ratio3_degree2,3,2,log_degree,0.1615263215447344
ratio3_degree2,3,2,log_mean_counts,0.06742497927193225
ratio3_degree2,3,2,logit_detection,-0.06369055039163064
ratio3_degree4,3,4,abs_discovery_response,0.08789306147042257
ratio3_degree4,3,4,log_degree,0.07254436977819015
ratio3_degree4,3,4,log_mean_counts,0.1143846899215631
ratio3_degree4,3,4,logit_detection,-0.013934873134570772
ratio3_degree8,3,8,abs_discovery_response,0.11493859969862169
ratio3_degree8,3,8,log_degree,0.027430013896432324
ratio3_degree8,3,8,log_mean_counts,0.1649827597054487
ratio3_degree8,3,8,logit_detection,0.03972581583491283
ratio3_degree16,3,16,abs_discovery_response,0.13945734889942343
ratio3_degree16,3,16,log_degree,0.007882979988281549
ratio3_degree16,3,16,log_mean_counts,0.23761112911097387
ratio3_degree16,3,16,logit_detection,0.1173864577157699
