specification,ratio,degree_weight,feature,standardized_mean_difference
ratio10_degree1,10,1,abs_discovery_response,0.04291781400892998
ratio10_degree1,10,1,log_degree,0.1719802240766228
ratio10_degree1,10,1,log_mean_counts,0.3510083420637441
ratio10_degree1,10,1,logit_detection,0.2964711649594502
ratio10_degree2,10,2,abs_discovery_response,0.0521918744926923
ratio10_degree2,10,2,log_degree,0.12014040407802644
ratio10_degree2,10,2,log_mean_counts,0.3558546643580099
ratio10_degree2,10,2,logit_detection,0.3040807736776774
ratio10_degree4,10,4,abs_discovery_response,0.06405873361977685
ratio10_degree4,10,4,log_degree,0.07787712359784915
ratio10_degree4,10,4,log_mean_counts,0.36534508244194275
ratio10_degree4,10,4,logit_detection,0.31956278947302325
ratio10_degree8,10,8,abs_discovery_response,0.07926127125240744
ratio10_degree8,10,8,log_degree,0.04507510870277346
ratio10_degree8,10,8,log_mean_counts,0.38018444836484633
ratio10_degree8,10,8,logit_detection,0.343787846209332
ratio10_degree16,10,16,abs_discovery_response,0.09530949030029166
ratio10_degree16,10,16,log_degree,0.023552769907087063
ratio10_degree16,10,16,log_mean_counts,0.40489556462587106
ratio10_degree16,10,16,logit_detection,0.38152807184866444
ratio5_degree1,5,1,abs_discovery_response,0.03530443608433226
ratio5_degree1,5,1,log_degree,0.15381044279168796
ratio5_degree1,5,1,log_mean_counts,0.19702256913723984
ratio5_degree1,5,1,logit_detection,0.14558895919413098
ratio5_degree2,5,2,abs_discovery_response,0.049184873466312035
ratio5_degree2,5,2,log_degree,0.10785138766366559
ratio5_degree2,5,2,log_mean_counts,0.19988565389465116
ratio5_degree2,5,2,logit_detection,0.15033701068332206
ratio5_degree4,5,4,abs_discovery_response,0.06154873806506628
ratio5_degree4,5,4,log_degree,0.0734025017353901
ratio5_degree4,5,4,log_mean_counts,0.2082927314723796
ratio5_degree4,5,4,logit_detection,0.16062217522297179
ratio5_degree8,5,8,abs_discovery_response,0.0705754238667199
ratio5_degree8,5,8,log_degree,0.04562636413347573
ratio5_degree8,5,8,log_mean_counts,0.22137878922040208
ratio5_degree8,5,8,logit_detection,0.17694810782808867
ratio5_degree16,5,16,abs_discovery_response,0.07485533414820587
ratio5_degree16,5,16,log_degree,0.02436316021336562
ratio5_degree16,5,16,log_mean_counts,0.24414173595017993
ratio5_degree16,5,16,logit_detection,0.20534762142770357
ratio3_degree1,3,1,abs_discovery_response,0.04193505452004803
ratio3_degree1,3,1,log_degree,0.15013827230984567
ratio3_degree1,3,1,log_mean_counts,0.1244999221605068
ratio3_degree1,3,1,logit_detection,0.07743428031189611
ratio3_degree2,3,2,abs_discovery_response,0.054606589132051214
ratio3_degree2,3,2,log_degree,0.10096160513533538
ratio3_degree2,3,2,log_mean_counts,0.12798140625930432
ratio3_degree2,3,2,logit_detection,0.08282288922527001
ratio3_degree4,3,4,abs_discovery_response,0.06084516012285913
ratio3_degree4,3,4,log_degree,0.06798983436283891
ratio3_degree4,3,4,log_mean_counts,0.13351806095603516
ratio3_degree4,3,4,logit_detection,0.08821317104446288
ratio3_degree8,3,8,abs_discovery_response,0.06881542116850903
ratio3_degree8,3,8,log_degree,0.045179675054992624
ratio3_degree8,3,8,log_mean_counts,0.14501627327115574
ratio3_degree8,3,8,logit_detection,0.10181371510962686
ratio3_degree16,3,16,abs_discovery_response,0.06885086478714476
ratio3_degree16,3,16,log_degree,0.02641176668921942
ratio3_degree16,3,16,log_mean_counts,0.16462033663559444
ratio3_degree16,3,16,logit_detection,0.12370469337506843
